url,url_alt,date,short,tease,tease_flag,hed,dek,hed_flag,dek_flag,author,bgColor,fgColor,color_override,keyword,hide_all,hide_footer,filters,faves,home_text,home_pick,collection,last_checked,needs_fixing,fix_note
2017/03/outkast,,03/01/2014,outkast in charts,"How Outkast brought their southern roots to hip hop, in charts.",63,"Outkast, in Charts",A look at Outkast’s history through the lens of data,18,52,matt,,,,"hip hop, music, outkast, rap",,,,,,,music-hiphop,9/25/2024,,
2017/03/timeless,,09/01/2015,most timeless songs,We used Spotify plays to track the most timeless songs of all-time.,67,The Most Timeless Songs of All-Time,Using Spotify to measure the popularity of older music,35,54,matt,,,,"music, timeless, song, history, hit, chart",,,,,,,music-history,9/25/2024,,
2017/03/labels,,11/01/2015,hip-hop labels,"Is it an east coast vs. west coast thing? Every hip hop record label, since 1989, sorted by Billboard chart performance.",120,The Most Succesful Labels in Hip Hop,"Hip hop record labels, sorted by their artists’ chart performance on Billboard",36,78,matt,,,,"hip hop, music, geography, label, map, rap",,,,,,,music-hiphop,9/25/2024,,
2017/03/bechdel,,01/01/2016,films bechdel test,"Here are the writers, directors, and producers who make films that fail the Bechdel test.",89,Hollywood’s Gender Divide and its Effect on Films,"The writers, directors, and producers who make films that fail the Bechdel test",49,79,"matt, ilia",,,,"gender, equality, movie, film, hollywood, sex, men, women, bechdel, writer, director, producer, studio",,,popular,,,,"gender,movies",9/25/2024,,
2017/03/punk,,01/09/2016,defining punk,"What counts as ""punk"" music? We turned to Spotify and YouTube playlists to answer this question.",96,Crowdsourcing the Definition of “Punk”,Looking at playlists to learn how parts of culture perceive genres,38,66,matt,,,,"music, punk, genre, song, spotify, youtube, playlist",,,popular,caitlyn,defining punk,,music-punk,9/25/2024,TRUE,header
2017/03/film-dialogue,,04/01/2016,dialogue by gender,"This is the largest analysis of film dialogue by gender. Yes, even Disney has films with fewer lines for women.",111,"The Largest Analysis of Film Dialogue by Gender, Ever","From 2,000 screeplays, broken down by age and gender",53,52,"matt, hanah",,,,"gender, equality, movie, film, language, sex, men, women, dialogue",,,popular,,,,"gender,movies",9/25/2024,,
2017/03/comeback,,04/10/2016,nba comebacks,"These are the most unlikely NBA comebacks from the 2015–16 season. Harden, Curry, James: the gang’s all here.",109,Ranking the Most Unlikely NBA Comebacks,Identify the most statistically unlikely comebacks this season,39,62,matt,,,,"nba, basketball, comebacks",,,,,,,basketball-players,9/25/2024,TRUE,youtube embed
2017/03/miles,,06/01/2016,miles davis wiki,"Miles Davis is mentioned on 2,452 Wikipedia pages. We analyzed them all.",72,"The 2,452 Wikipedia Pages on which Miles Davis is Mentioned","25 years after his death, you can find Davis’ fingerprints on many other ideas.",59,79,"matt, hanah",,,,"miles davis, music, jazz, wiki",,,,,,,music-jazz,9/25/2024,,
2017/03/redraft,,09/01/2016,nba redrafted,Hindsight is 20/20. We redraft decades of NBA picks using their career stats to find the breakouts and the busts.,113,Twenty Years of the NBA Redrafted,"Using career stats to prove the best/worst NBA draft picks, ever",33,64,russell,,,,"nba, basketball, draft, redraft, team, player",,,,,redrafting the NBA,kevin,basketball-draft,9/25/2024,,
2017/03/sampling,,09/01/2016,glasper sampling,"An interactive story of what happens when a genius samples a genius: Robert Glasper, Miles Davis and “Ghetto Walkin.”",117,How Robert Glasper Sampled Miles Davis on “Ghetto Walkin”,An interactive story about the art of sampling,57,46,matt,,,,"robert glasper, music, jazz, sample, sampling",,,audio,,,,music-jazz,9/25/2024,,
2017/03/elections,,10/01/2016,trump vs. clinton,"We analyzed 12,147 images to see how the media covers Trump and Clinton. It’s not a pretty picture. ",100,How News Media Covers Trump & Clinton,"Analyzing 12,147 images of Trump and Clinton",37,44,russell,,,,"politics, media, news, trump, clinton, republican, democrat",,,,,,,"media,politics",9/25/2024,,
2017/03/hamilton,,12/15/2016,every line in hamilton,This is the site where it happens. We visualized every line from Hamilton.,74,An Interactive Visualization of Every Line in Hamilton,"From the moment I sat down to listen the whole way through, I was done for...",54,77,shirley,,,,"music, hamilton, theater, language, song, lyric, play, musical, rap, hip hop",,,,,Hamilton,matt,music,9/25/2024,,
2017/01/making-it-big,,01/15/2017,making it big,"What are the odds an artist will make it big? Three years and 75,000 concerts later, we finally have an answer. ",112,The Unlikely Odds of Making it Big,"What three years and 75,000 shows tell us about the chance of success",34,69,"russell, dan",,,,"music, celebrity, making it big, big, success",,,,caitlyn,making it as a musician,"kevin, caitlyn",music,9/25/2024,,
2017/01/shape-of-slavery,,01/23/2017,slavery & incarceration,"Inspired by Ava DuVernay’s documentary 13th, we mapped the change from ""slave to criminal with one amendment.""",110,Mapping Slavery Against US Incarceration,How do historic incarceration rates differ between slave and non-slave states?,40,78,matt,,,,"history, america, geography, slavery, map, incarceration, slave, black, african-american, south, united states",,,,,slavery and incarceration,,criminaljustice,9/25/2024,,
2017/02/new-slang,,02/05/2017,slang in search data,"We used Google search data to measure slang, and it has us shook.",65,"The Emergence Of Slang, Using Search Data","Emerging slang, identified by searches for words’ definitions",41,61,matt,,,,"language, slang, vocabulary, google, search, word",,,popular,,,,language-slang,9/25/2024,TRUE,missing gif
2017/02/two-minute-report,,02/15/2017,nba two minute report,A lot can happen in the last 2:00 of an NBA game and the refs don’t always get it right. We tracked the calls in 2018.,118,NBA Last Two Minute Report,A review of the NBA officiating from the Last Two Minute Report,26,63,russell,,,,"nba, basketball, two minute report, ref",,,,,,,basketball-ref,9/25/2024,,
2017/02/oscars_so_mapped,,02/23/2017,geography of films,"Like teams in the Super Bowl, the popularity of Oscar contenders can also be regional. Here are the hotspots from 2017.",119,The Geographic Divide of Oscars Films,Mapping the popularity of Oscar-nominated films in 2017,37,55,"matt, russell, ilia",,,,"oscar, movie, geography, film, map, academy award",,,,,,,"movies,maps",9/25/2024,TRUE,missing gif
2017/03/home-court,,03/02/2017,hometeam advantage,"In the NBA, is home court advantage down to favorable home court officiating? We break down the stats.",102,Do NBA Refs Favor the Home Team?,Analyzing reviewed calls to rank NBA teams by favorable home court officiating,32,78,"oliver, matt",,,,"nba, basketball, ref",,TRUE,,,,,basketball-ref,9/25/2024,TRUE,missing video
2017/03/westbrook,,03/08/2017,westbrook triple-double,Here’s how Russell Westbrook made NBA history in 2017.,54,How Russell Westbrook Can Average a Triple-Double,"As of March 10, Russell Westbrook is averaging a triple-double.",49,63,russell,,,,"nba, basketball, russell westbrook",,TRUE,,,,,basketball-players,9/25/2024,,
2017/03/incarceration,,03/21/2017,us incarceration,Why does the U.S. lead the world in incarceration? We try to answer this question with data.,92,Why Does the US Lead the World in Incarceration?,How we got here is one of the most debated questions in policy.,48,63,matt,,,,"america, incarceration, geography, united states, jail, prison",,,,,,,criminaljustice,9/25/2024,,
2017/04/beer,,04/18/2017,microbrew capital,Let’s raise a pint to the microbrew capitals of the U.S. Cheers!,64,What City is the Microbrew Capital of the US?,Using beer review data to rank the best cities in the country,45,61,russell,,,,"food, geography, map, beer, brew, america, united states",,,,,the best beer cities,caitlyn,food,9/25/2024,,
2017/05/nba-moments,,05/06/2017,timeless nba plays,What’s the most timeless NBA play? We turn to YouTube views to determine which have the most replay value. ,107,The Most Timeless NBA Plays,"Historic NBA games and plays, ranked by YouTube views",27,53,"matt, russell",,,,"nba, basketball, timeless, play",,,,,,,basketball-plays,9/25/2024,TRUE,lots of missing videos
2017/05/song-repetition,,05/11/2017,song repetition,"In the words of Ms. Spears, ""Oops, I did it again."" We show how pop lyrics are getting more repetitive.",103,Are Pop Lyrics Getting More Repetitive?,Measuring repetition in song lyrics over time using a compression algorithm,39,75,colin,,,,"music, pop, lyric, repetivite, repetition, song",,,popular,,repetition in songs,"popular, kevin, matt",music-pop,9/25/2024,,
2017/05/births,,05/24/2017,baby making timing,"Hurricanes, bankruptcies, and the World Series are all said to spark baby booms.But is there any truth to these tales?",118,The Timing of Baby Making,"Births, broken down by geography and month",25,42,amber,,,,"health, geography, baby, conception, time, sex, reproduction, reproductive health",,,,,,,health,9/25/2024,,
2017/06/best-sellers,,06/01/2017,best sellers by gender,"Has American literature made progress toward gender equality, or is commercial success still linked to an author’s bio? ",120,"Bias, She Wrote",How much progress has American literature made towards gender equality?,15,71,rosie,,,,"books, gender, equality, literature, language, representation, men, women, new york times, best seller",,,,,,,"gender,books",9/25/2024,,
2017/06/film-trends,,06/29/2017,movie plot trends,A story about how film plots mirror (or shape) historical events.,65,Plot Trends for Top-Grossing Film from the Past 50 Years,This is a story about how film plots mirror (or shape) historical events.,56,73,"matt, russell",,,,"movie, film, grossing, plot, story",,,,,,,movies,9/25/2024,,
2017/07/cetaceans,,07/06/2017,whales and dolphins,What’s best for animals in aquariums? We look to the past & present to gauge the future of captive whales and dolphins.,119,Free Willy and Flipper by the Numbers,"The past, present, and future of captive whales and dolphins",37,60,"amber, russell",,,,"science, animals, free willy, flipper, ocean, aquarium",,,,,,,animals,9/25/2024,,
2017/07/jobs,,07/11/2017,job automation,"Everytime a job is automated, the Republican Party benefits.",60,Why the Republican Party Wins When Robots Take Your Job,Job automation is only a matter of time. Here’s why the right will benefit.,55,75,ilia,,,,"jobs, automation, politics, america, economy, economic, republican, robot, united states, money",,,,,,,economy,9/25/2024,,
